region_id,region_name,exports,exports_m3,imports,imports_m3,npc_bounties,total_destroyed,total_production,trade_value,mining_value,moon_mining_value,loyalty_points
10000001,Derelik,103532070688294.31,10561166151.0391,97658633239996.89,9543536428.1819,90068696042.0,363952138156.05,659515397323.7003,1982162705506.5996,797868100121.2222,1129301917.2834,60336014.0
10000002,The Forge,456292809859663.0,36217662406.0633,494717291484212.25,45302282471.726105,507689879798.0,2312624028410.28,26286611607615.117,740334534849261.6,1243880151172.384,2054618959.2356,602243870.0
10000003,Vale of the Silent,37646397796859.77,2972426210.6053,49753886823342.4,2713280170.2985,5372090572584.0,2310448991020.77,24634190946617.85,11279349627315.648,3223674159376.651,8438377463.1462,0.0
10000005,Detorid,15299196254664.734,1400661748.0823,14436804071398.73,1300564261.5741,645379274784.0,533038137816.38,1409483548151.6157,586409768306.4199,734167553473.448,1205451705.046,0.0
10000006,Wicked Creek,7794825792878.387,491493059.6409,7006487563876.896,463821488.6799,349485515342.0,108496486803.75,13822434474.5301,275907500.0,50319133399.199844,0.0,0.0
10000007,Cache,7581354053093.646,643973948.1974,6646482953445.744,404197350.4031,1413667123126.0,415704881517.37,1153212861020.6665,318099331381.62,345913060091.89355,469938977.4336,0.0
10000008,Scalding Pass,10133309376544.758,941832925.1709,7478925910377.906,551954500.9767,413824359763.0,333062070567.2,90291647209.9385,41159723915.64,214366449424.02124,37314737.2252,0.0
10000009,Insmother,12688483310259.148,1098286006.3741,12365314323446.799,1597033203.124,2846014398456.0,494075088470.23,659394955740.9424,103540846857.69002,886711076192.8746,1726263322.8983,0.0
10000010,Tribute,31074332805453.02,2884710111.7017,29109227184761.188,2136371017.7203002,2886784994283.0,758345490048.35,5371738619425.381,15016023259.65,609128605981.6863,2229827831.7907,0.0
10000011,Great Wildlands,12506057639299.443,1300056249.4751,11959573382478.674,1381300851.2676,34075914142.0,134356019271.82,308974638538.0125,20120380155.920002,325858857201.7313,816055264.7428,752683.0
10000012,Curse,25922965965782.23,1779998584.2609,21943611190315.715,1671459874.8514,96029393035.0,362512060429.91,224191329790.98,182377260223.27002,40087367483.75386,45485939.0095,330495248.0
10000013,Malpais,29925487662447.5,1934944792.826,18434080996782.742,1139504338.7729,1235877777226.0,293746157733.03,5130669792672.21,321147092863.93005,1437327184358.0112,3798883447.8661,0.0
10000014,Catch,111954119864940.11,7594006026.9129,120452624804237.03,8450212001.013101,3116260597631.0,1299557152906.47,10471341068328.281,91275444590.42,912305383858.1473,2184021804.0035,0.0
10000015,Venal,21334987425702.62,1105363369.4189,17765863009291.305,1358300060.7545,472543563977.0,271783602151.44,320342622536.9293,134073688779.71999,216536527979.2663,65278178.4676,1001099297.0
10000016,Lonetrek,287893005461909.75,29985721769.946598,279908482466472.2,26611927207.9679,620730867345.0,1483676292901.66,15422574374663.135,22394152135647.98,1103632525154.7869,2176125257.5623,2313269585.0
10000018,The Spire,10424486860715.525,638083933.7155,10084689232541.164,825229458.3225,634979050710.0,230739968261.07,177770532174.4189,11904798935.460001,874320440190.024,1123683749.2494,0.0
10000020,Tash-Murkon,59588538619197.29,7142248641.353901,52605846740356.68,6045535997.6909,167162271446.0,243146434753.45,1381810473802.486,3080664757542.639,632872558403.5504,1172221174.6162,105441028.0
10000021,Outer Passage,6554577182133.456,449184916.5153,5344025155802.313,553125613.2388,769727768342.0,154658908007.58,567610562630.7498,0.0,924239243800.0996,1170943014.4775,0.0
10000022,Stain,13449309452004.719,888924131.5706999,12195862004049.406,949546916.1962,331353930437.0,404310906161.76,1341998942552.2285,210701676779.94998,337404920692.25806,2001577447.3099,566524456.0
10000023,Pure Blind,26847149803761.926,3603745356.3107,27543534239054.758,3666045079.1371,809966592518.0,964597418780.81,3010125158242.8364,998402599562.12,681403351809.6726,2003172339.4901,380153793.0
10000025,Immensea,31893097294565.01,3515523846.816,40773414770673.5,4300210231.0524,4937794987274.0,1060189769505.86,18954572935006.41,16979218588.5,2431903839440.8022,4002085079.5759,0.0
10000027,Etherium Reach,27249080122015.527,2019144033.4212,28439659916112.78,2134133421.5111,1435272739231.0,907856173457.54,3081590894434.0835,653125718529.4298,1418911072301.5815,5515864082.0586,0.0
10000028,Molden Heath,27687137188839.824,3126642631.346,29074025817240.113,3346226852.638,141910977782.0,945622603424.16,679952849950.7,774562339675.13,342465963271.9812,489339283.506,356442065.0
10000029,Geminate,90612475950945.31,3488831387.4249,91271304797488.77,3768876520.0445,1700132869140.0,930245244229.75,1842124624534.576,295529605205.20996,553403254471.2931,2497742436.3174,0.0
10000030,Heimatar,118246885766275.55,13497885884.7757,116285078090697.44,14273613774.5823,255839941732.0,1309330137215.74,2957723152228.87,8977613068904.162,813432940459.9513,800799599.035,183626130.0
10000031,Impass,23605097802678.035,3405237508.5464,24793430640090.227,4704456851.8381,3224251649835.0,797584229316.48,2100225704381.7415,488712777210.38995,2072759932944.4224,2250067516.3906,0.0
10000032,Sinq Laison,243426586159619.2,21282445958.2751,236196112291163.0,21078512549.8119,331309678811.0,1531774132613.62,8098083740273.141,21899394370080.76,1128214908731.9329,1815953600.2385,177006017.0
10000033,The Citadel,357307023794473.25,35979537467.182,349756972874585.94,33587603605.0294,340787570567.0,1705820008936.55,17967136511790.633,6354856101920.77,664839202240.0005,1084387468.6918,231844181.0
10000034,The Kalevala Expanse,97185287038519.6,4930654970.1651,93380125440013.02,4836362074.7326,2498771654987.0,734351436536.19,3849745817986.962,7559707975.44,1023730404201.6151,1610834452.1664,0.0
10000035,Deklein,8869429764248.395,1771327082.6472,6285878339599.092,339004797.2667,1402368536414.0,405038928592.62,8711287078992.437,283088359208.5901,727018476715.5178,718822893.685,0.0
