wormhole_class,item_category,import_or_export,total
Class 1,Blue loot,Exports,2203334587841.9883
Class 1,Blue loot,Imports,2162893330988.6123
Class 1,Gas,Exports,433434286437.3086
Class 1,Gas,Imports,267542630473.2903
Class 1,Materials,Exports,2849859038103.4414
Class 1,Materials,Imports,3072247635713.388
Class 2,Blue loot,Exports,6440621277849.931
Class 2,Blue loot,Imports,6342664840154.272
Class 2,Gas,Exports,1149921081012.1277
Class 2,Gas,Imports,1323725940863.7798
Class 2,Materials,Exports,7706241341198.752
Class 2,Materials,Imports,7583961508070.927
Class 3,Blue loot,Exports,7517967812614.648
Class 3,Blue loot,Imports,6192188641592.787
Class 3,Gas,Exports,1497648782176.7783
Class 3,Gas,Imports,689971159185.7372
Class 3,Materials,Exports,6717510147086.299
Class 3,Materials,Imports,5791935048063.327
Class 4,Blue loot,Exports,7300506977103.826
Class 4,Blue loot,Imports,5684865254104.126
Class 4,Gas,Exports,906245839169.6515
Class 4,Gas,Imports,1302957794399.1987
Class 4,Materials,Exports,3807298679805.0386
Class 4,Materials,Imports,3503882045160.175
Class 5,Blue loot,Exports,12080280843230.879
Class 5,Blue loot,Imports,4009094893178.61
Class 5,Gas,Exports,1390031666691.6895
Class 5,Gas,Imports,519296287910.4987
Class 5,Materials,Exports,3735100207526.067
Class 5,Materials,Imports,3236861523984.025
Class 6,Blue loot,Exports,7014651120944.312
Class 6,Blue loot,Imports,2074713924473.5515
Class 6,Gas,Exports,447375973510.3091
Class 6,Gas,Imports,202338008647.79462
Class 6,Materials,Exports,1743484722583.6653
Class 6,Materials,Imports,1200813479239.8457
