region_name,source,quantity
Aridia,metanox_mining,261450786152.0
Aridia,refinery_mining,110571642719.0
Black Rise,metanox_mining,254198065438.0
Black Rise,refinery_mining,28148625806.0
Branch,metanox_mining,242631328968.0
Branch,refinery_mining,131225175540.0
Cache,metanox_mining,81074802956.0
Cache,refinery_mining,162749317702.0
Catch,metanox_mining,104585140486.0
Catch,refinery_mining,895437897939.0
Cloud Ring,metanox_mining,147916298668.0
Cloud Ring,refinery_mining,110203761180.0
Cobalt Edge,metanox_mining,120940031515.0
Cobalt Edge,refinery_mining,195151384031.0
Curse,metanox_mining,202349737532.0
Curse,refinery_mining,11210681016.0
Deklein,metanox_mining,188143819968.0
Deklein,refinery_mining,189467652328.0
Delve,metanox_mining,286882701870.0
Delve,refinery_mining,331427974264.0
Derelik,metanox_mining,168573647396.0
Derelik,refinery_mining,160642466753.0
Detorid,metanox_mining,247189268697.0
Detorid,refinery_mining,209771214587.0
Devoid,metanox_mining,81311908429.0
Devoid,refinery_mining,107880923503.0
Domain,metanox_mining,135205516207.0
Domain,refinery_mining,295997719424.0
Esoteria,metanox_mining,114617543053.0
Esoteria,refinery_mining,302990001125.0
Essence,metanox_mining,118420447574.0
Essence,refinery_mining,176024144534.0
Etherium Reach,metanox_mining,160910486530.0
Etherium Reach,refinery_mining,545920517169.0
Everyshore,metanox_mining,39578474605.0
Everyshore,refinery_mining,85288890096.0
Fade,metanox_mining,100489811598.0
Fade,refinery_mining,92502816649.0
Feythabolis,metanox_mining,80337113862.0
Feythabolis,refinery_mining,174727633610.0
Fountain,metanox_mining,434596251688.0
Fountain,refinery_mining,728265478294.0
Geminate,metanox_mining,287804209751.0
Geminate,refinery_mining,287158333259.0
Genesis,metanox_mining,271273728116.0
Genesis,refinery_mining,57236409719.0
Great Wildlands,metanox_mining,311760796427.0
Great Wildlands,refinery_mining,175387625847.0
Heimatar,metanox_mining,101937382064.0
Heimatar,refinery_mining,64909064468.0
Immensea,metanox_mining,33064693440.0
Immensea,refinery_mining,628158801011.0
Impass,metanox_mining,10221998184.0
Impass,refinery_mining,467994333629.0
Insmother,metanox_mining,168248711767.0
Insmother,refinery_mining,263987510426.0
Kador,metanox_mining,103444905517.0
Kador,refinery_mining,174721709846.0
Khanid,metanox_mining,180376921992.0
Khanid,refinery_mining,156134394729.0
Kor-Azor,metanox_mining,121686139001.0
Kor-Azor,refinery_mining,20453320414.0
Lonetrek,metanox_mining,81215443050.0
Lonetrek,refinery_mining,135567166113.0
Malpais,metanox_mining,129448923362.0
Malpais,refinery_mining,404105143398.0
Metropolis,metanox_mining,235343240956.0
Metropolis,refinery_mining,145715148466.0
Molden Heath,metanox_mining,115701708049.0
Molden Heath,refinery_mining,184171193098.0
Oasa,metanox_mining,186563913759.0
Oasa,refinery_mining,271639626525.0
Omist,metanox_mining,132461936933.0
Omist,refinery_mining,75913849446.0
Outer Passage,metanox_mining,141461410161.0
Outer Passage,refinery_mining,227095823124.0
Outer Ring,metanox_mining,358272968716.0
Outer Ring,refinery_mining,14727244130.0
Paragon Soul,metanox_mining,77717743000.0
