history_date,entry_id,entry_name,entry_sink_value,entry_faucet_value
2022-04-01,-66.0,Structure Module (Market),-9100000000.0,8200000000.0
2022-04-01,-41.0,Planetary Industry (Market),-1183050729.53,0.0
2022-04-01,-25.0,Asteroid (Market),0.0,24844989.74
2022-04-01,-17.0,Commodity (Market),-5282891173.11,1278952178108.05
2022-04-01,-16.0,Skill (Market),-70338856180.0,0.0
2022-04-01,-9.0,Blueprint (Market),-189079576229.0,0.0
2022-04-01,13.0,Office Rental Fee,-11253109555.0,0.0
2022-04-01,15.0,Repair Bill,-4443337216.0,46868.0
2022-04-01,19.0,Insurance,-76876392489.0,109736366658.0
2022-04-01,26.0,LP Store,-289508000000.0,0.0
2022-04-01,27.0,Agent Location Services,-37921000.0,0.0
2022-04-01,33.0,Agent Mission Reward,-234405916.0,119189238036.0
2022-04-01,35.0,CSPA,-60650586.0,0.0
2022-04-01,39.0,Corporation Registration Fee,-627121600.0,515135600.0
2022-04-01,40.0,Corporation Logo Change Cost,-3700.0,0.0
2022-04-01,41.0,Release Of Impounded Property,-10831026.0,0.0
2022-04-01,46.0,Brokers Fee,-191548731228.0,0.0
2022-04-01,48.0,Alliance Registration Fee,-1000000000.0,0.0
2022-04-01,49.0,War Fee,-3900000000.0,0.0
2022-04-01,50.0,Alliance Maintainance Fee,-1000000000.0,0.0
2022-04-01,51.0,Contraband Fine,-3111413160.0,0.0
2022-04-01,54.0,Transaction Tax,-829330414703.0,0.0
2022-04-01,55.0,Jump Clone Installation Fee,-918900000.0,0.0
2022-04-01,56.0,Manufacturing,-67197131455.0,0.0
2022-04-01,57.0,Researching Technology,-1241865346.0,0.0
2022-04-01,58.0,Researching Time Productivity,-10425942856.0,0.0
2022-04-01,59.0,Researching Material Productivity,-20677993109.0,0.0
2022-04-01,60.0,Copying,-1709223814.0,0.0
2022-04-01,72.0,Contract Brokers Fee,-7471239486.0,0.0
2022-04-01,73.0,Contract Sales Tax,-5732954430.0,0.0
2022-04-01,80.0,Contract Brokers Fee (corp),-1254179047.0,0.0
2022-04-01,85.0,Bounty Prizes,0.0,898350888647.0
2022-04-01,86.0,Advertisement Listing Fee,-165500000.0,0.0
2022-04-01,87.0,Medal Creation,-45000000.0,0.0
2022-04-01,88.0,Medal Issued,-420000000.0,0.0
2022-04-01,96.0,Planetary Import Tax,-692812627.0,0.0
2022-04-01,97.0,Planetary Export Tax,-3489484323.0,0.0
2022-04-01,98.0,Planetary Construction,-11585355000.0,0.0
2022-04-01,99.1000125,Corporate Reward Payout (Sansha Incursions),0.0,237170745901.57
2022-04-01,99.1000137,Corporate Reward Payout (Pirate FOBs),0.0,15101220308.07
2022-04-01,99.1000298,Corporate Reward Payout (Triglavian Invasions),0.0,303021845012.05
2022-04-01,101.0,Bounty Surcharge,-336149175.0,0.0
2022-04-01,117.0,Security Processing Fee,-2359000000.0,0.0
2022-04-01,120.0,Industry Job Tax,-1991297449.0,0.0
2022-04-01,122.0,Infrastructure Hub maintenance,-32249000000.0,0.0
2022-04-01,123.0,Asset Safety recovery Tax,-47582464273.0,0.0
2022-04-01,125.0,Project Discovery reward,0.0,27361373715.0
2022-04-01,127.0,Reprocessing Tax,-1207594097.0,0.0
2022-04-01,128.0,Jump Clone Activation Fee,-2091600000.0,0.0
2022-04-01,135.0,Reactions,-27049126336.0,0.0
2022-04-01,139.0,Season Challenge Reward,0.0,28930000000.0
2022-04-01,141.0,Skill Purchase,-204681863750.0,0.0
2022-04-01,145.0,Hypernet Relay Tax,-42387151682.0,0.0
2022-04-01,147.0,Redeemed ISK token,0.0,178185000.0
2022-04-01,149.0,SCC surcharge,-51385635414.0,0.0
2022-04-01,155.0,ESS Main Bank Autopayment,0.0,437299454357.0
2022-04-01,156.0,First Day ISK Bonus,0.0,282000000.0
2022-04-02,-66.0,Structure Module (Market),-38900000000.0,14100000000.0
2022-04-02,-41.0,Planetary Industry (Market),-199906696.3,0.0
2022-04-02,-25.0,Asteroid (Market),0.0,35568000.0
2022-04-02,-17.0,Commodity (Market),-17662384271.95,1525561372354.43
2022-04-02,-16.0,Skill (Market),-81589719670.0,0.0
2022-04-02,-9.0,Blueprint (Market),-107581312608.0,0.0
2022-04-02,13.0,Office Rental Fee,-11922917150.0,0.0
2022-04-02,15.0,Repair Bill,-5073659223.0,69985.0
2022-04-02,19.0,Insurance,-52372987145.0,135314968228.0
2022-04-02,26.0,LP Store,-243855195000.0,0.0
2022-04-02,27.0,Agent Location Services,-33725000.0,0.0
2022-04-02,33.0,Agent Mission Reward,-285578225.0,123355935511.0
2022-04-02,35.0,CSPA,-35053557.0,0.0
2022-04-02,39.0,Corporation Registration Fee,-598325200.0,473540800.0
2022-04-02,40.0,Corporation Logo Change Cost,-3500.0,0.0
2022-04-02,41.0,Release Of Impounded Property,-47958287.0,0.0
2022-04-02,46.0,Brokers Fee,-238111956405.0,0.0
2022-04-02,48.0,Alliance Registration Fee,-46000000000.0,41000000000.0
2022-04-02,49.0,War Fee,-2600000000.0,0.0
2022-04-02,50.0,Alliance Maintainance Fee,-746000000.0,0.0
2022-04-02,51.0,Contraband Fine,-2539800.0,0.0
2022-04-02,54.0,Transaction Tax,-963330077632.0,0.0
2022-04-02,55.0,Jump Clone Installation Fee,-1043100000.0,0.0
2022-04-02,56.0,Manufacturing,-82182392828.0,0.0
2022-04-02,57.0,Researching Technology,-844184240.0,0.0
2022-04-02,58.0,Researching Time Productivity,-45644025897.0,0.0
2022-04-02,59.0,Researching Material Productivity,-22514745788.0,0.0
2022-04-02,60.0,Copying,-2254403029.0,0.0
2022-04-02,72.0,Contract Brokers Fee,-9250151547.0,0.0
2022-04-02,73.0,Contract Sales Tax,-5218978426.0,0.0
2022-04-02,80.0,Contract Brokers Fee (corp),-1913285798.0,0.0
2022-04-02,85.0,Bounty Prizes,0.0,968766303282.0
2022-04-02,86.0,Advertisement Listing Fee,-279000000.0,0.0
2022-04-02,87.0,Medal Creation,-50000000.0,0.0
2022-04-02,88.0,Medal Issued,-225000000.0,0.0
2022-04-02,96.0,Planetary Import Tax,-840072173.0,0.0
2022-04-02,97.0,Planetary Export Tax,-3758407700.0,0.0
2022-04-02,98.0,Planetary Construction,-14898710000.0,0.0
2022-04-02,99.1000125,Corporate Reward Payout (Sansha Incursions),0.0,197900363327.38
2022-04-02,99.1000137,Corporate Reward Payout (Pirate FOBs),0.0,12482684907.08
2022-04-02,99.1000298,Corporate Reward Payout (Triglavian Invasions),0.0,353807121958.06
2022-04-02,101.0,Bounty Surcharge,-173040348.0,0.0
2022-04-02,117.0,Security Processing Fee,-1642000000.0,0.0
2022-04-02,120.0,Industry Job Tax,-2628494119.0,0.0
2022-04-02,122.0,Infrastructure Hub maintenance,-33747000000.0,0.0
2022-04-02,123.0,Asset Safety recovery Tax,-76149088272.0,0.0
2022-04-02,125.0,Project Discovery reward,0.0,28880571679.0
2022-04-02,127.0,Reprocessing Tax,-1041810090.0,0.0
2022-04-02,128.0,Jump Clone Activation Fee,-2272500000.0,0.0
2022-04-02,135.0,Reactions,-34238779771.0,0.0
2022-04-02,139.0,Season Challenge Reward,0.0,39180000000.0
2022-04-02,141.0,Skill Purchase,-261081660450.0,0.0
2022-04-02,145.0,Hypernet Relay Tax,-36289322236.0,0.0
2022-04-02,147.0,Redeemed ISK token,0.0,289130000.0
2022-04-02,149.0,SCC surcharge,-66252409343.0,0.0
2022-04-02,155.0,ESS Main Bank Autopayment,0.0,452564275026.0
2022-04-02,156.0,First Day ISK Bonus,0.0,376500000.0
2022-04-03,-66.0,Structure Module (Market),-87200000000.0,16800000000.0
2022-04-03,-41.0,Planetary Industry (Market),-575070486.47,0.0
2022-04-03,-25.0,Asteroid (Market),0.0,40356000.0
2022-04-03,-17.0,Commodity (Market),-8701238605.59,1434116663855.13
2022-04-03,-16.0,Skill (Market),-90076049700.0,0.0
2022-04-03,-9.0,Blueprint (Market),-145350999774.0,0.0
2022-04-03,13.0,Office Rental Fee,-9397080914.0,0.0
2022-04-03,15.0,Repair Bill,-5477476888.0,10839806.0
2022-04-03,19.0,Insurance,-43499312954.0,117688086992.0
2022-04-03,26.0,LP Store,-287622020000.0,0.0
2022-04-03,27.0,Agent Location Services,-49655000.0,0.0
2022-04-03,33.0,Agent Mission Reward,-253579666.0,126852840927.0
2022-04-03,35.0,CSPA,-52583094.0,0.0
2022-04-03,39.0,Corporation Registration Fee,-580727400.0,470341200.0
