history_date,group_id,group_name,group_value
2022-06-01,280,General,-999917547
2022-06-01,281,Frozen,11786834996
2022-06-01,283,Livestock,28354080
2022-06-01,284,Biohazard,42785777
2022-06-01,313,Drugs,115100076
2022-06-01,314,Miscellaneous,37306156975
2022-06-01,409,Empire Insignia Drops,12853322562
2022-06-01,493,Overseer Personal Effects,189896316416
2022-06-01,528,Artifacts and Prototypes,250000
2022-06-01,880,Sleeper Components,808260500000
2022-06-01,1206,Security Tags,39000000
2022-06-01,1248,Bounty Encrypted Bonds,105560680000
2022-06-01,1995,Triglavian Data,173228689400
2022-06-01,4087,Triglavian Space Filaments,-6670000
2022-06-01,4142,Rogue Drone Analysis Data,30985000000
2022-06-01,4145,Warp Matrix Filaments,255000
2022-06-01,4165,Peculiar Materials,44723125
2022-06-02,280,General,384106436
2022-06-02,281,Frozen,-2110916901
2022-06-02,283,Livestock,30437097
2022-06-02,284,Biohazard,121188097
2022-06-02,313,Drugs,-12943432
2022-06-02,314,Miscellaneous,43035864174
2022-06-02,409,Empire Insignia Drops,10852612176
2022-06-02,493,Overseer Personal Effects,240150500961
2022-06-02,880,Sleeper Components,677676699998
2022-06-02,1206,Security Tags,88500000
2022-06-02,1248,Bounty Encrypted Bonds,172380560000
2022-06-02,1995,Triglavian Data,207948000000
2022-06-02,4087,Triglavian Space Filaments,-54510020
2022-06-02,4142,Rogue Drone Analysis Data,99529700000
2022-06-02,4165,Peculiar Materials,147260000
2022-06-03,280,General,-495277861
2022-06-03,281,Frozen,3510909235
2022-06-03,283,Livestock,26216102
2022-06-03,284,Biohazard,35759537
2022-06-03,313,Drugs,384943248
2022-06-03,314,Miscellaneous,41947053626
2022-06-03,409,Empire Insignia Drops,2185278542
2022-06-03,493,Overseer Personal Effects,190200327329
2022-06-03,880,Sleeper Components,684687300000
2022-06-03,1206,Security Tags,81500000
2022-06-03,1248,Bounty Encrypted Bonds,190823890000
2022-06-03,1995,Triglavian Data,193787600000
2022-06-03,4087,Triglavian Space Filaments,-3570000
2022-06-03,4142,Rogue Drone Analysis Data,31085900000
2022-06-03,4145,Warp Matrix Filaments,2675000
2022-06-03,4165,Peculiar Materials,356355425
2022-06-04,280,General,307441062
2022-06-04,281,Frozen,-2199143564
2022-06-04,283,Livestock,-355250
2022-06-04,284,Biohazard,160983491
2022-06-04,313,Drugs,-125895778
2022-06-04,314,Miscellaneous,47082449454
2022-06-04,409,Empire Insignia Drops,2164256253
