region_name,source,quantity,month
Aridia,metanox_mining,228430028929.0,202501
Aridia,refinery_mining,88630375215.0,202501
Black Rise,metanox_mining,278158375751.0,202501
Black Rise,refinery_mining,37743166726.0,202501
Branch,metanox_mining,270517831651.0,202501
Branch,refinery_mining,434628772640.0,202501
Cache,metanox_mining,87634672127.0,202501
Cache,refinery_mining,135208674993.0,202501
Catch,metanox_mining,112108755799.0,202501
Catch,refinery_mining,663375443409.0,202501
Cloud Ring,metanox_mining,170489761674.0,202501
Cloud Ring,refinery_mining,184386618820.0,202501
Cobalt Edge,metanox_mining,137898412968.0,202501
Cobalt Edge,refinery_mining,207755570570.0,202501
Curse,metanox_mining,196967555676.0,202501
Curse,refinery_mining,17437373156.0,202501
Deklein,metanox_mining,170608405113.0,202501
Deklein,refinery_mining,238232608346.0,202501
Delve,metanox_mining,327061666440.0,202501
Delve,refinery_mining,149900290856.0,202501
Derelik,metanox_mining,180839176913.0,202501
Derelik,refinery_mining,167576275778.0,202501
Detorid,metanox_mining,271872265861.0,202501
Detorid,refinery_mining,304336232890.0,202501
Devoid,metanox_mining,92371214416.0,202501
Devoid,refinery_mining,141733378993.0,202501
Domain,metanox_mining,137185888912.0,202501
Domain,refinery_mining,364741584384.0,202501
Esoteria,metanox_mining,114575779565.0,202501
Esoteria,refinery_mining,480634598352.0,202501
Essence,metanox_mining,124881782882.0,202501
Essence,refinery_mining,162114956764.0,202501
Etherium Reach,metanox_mining,170888505588.0,202501
Etherium Reach,refinery_mining,758257407287.0,202501
Everyshore,metanox_mining,47746953675.0,202501
Everyshore,refinery_mining,109619167185.0,202501
Fade,metanox_mining,116866250868.0,202501
Fade,refinery_mining,140467718159.0,202501
Feythabolis,metanox_mining,85304574914.0,202501
Feythabolis,refinery_mining,285836103153.0,202501
Fountain,metanox_mining,476309788544.0,202501
Fountain,refinery_mining,872881669609.0,202501
Geminate,metanox_mining,232706733340.0,202501
Geminate,refinery_mining,366578954295.0,202501
Genesis,metanox_mining,202938128392.0,202501
Genesis,refinery_mining,119898848976.0,202501
Great Wildlands,metanox_mining,350522104036.0,202501
Great Wildlands,refinery_mining,261114185167.0,202501
Heimatar,metanox_mining,117501922425.0,202501
Heimatar,refinery_mining,64494707050.0,202501
Immensea,metanox_mining,37027351488.0,202501
Immensea,refinery_mining,888525036866.0,202501
Impass,metanox_mining,13416944922.0,202501
Impass,refinery_mining,461200966272.0,202501
Insmother,metanox_mining,178958410369.0,202501
Insmother,refinery_mining,477282168969.0,202501
Kador,metanox_mining,119930544021.0,202501
Kador,refinery_mining,232987734196.0,202501
Khanid,metanox_mining,193234893801.0,202501
Khanid,refinery_mining,159662441383.0,202501
Kor-Azor,metanox_mining,120532096219.0,202501
Kor-Azor,refinery_mining,18988751478.0,202501
Lonetrek,metanox_mining,80603879651.0,202501
Lonetrek,refinery_mining,157417438778.0,202501
Malpais,metanox_mining,139944454993.0,202501
Malpais,refinery_mining,605432838892.0,202501
Metropolis,metanox_mining,266629468119.0,202501
