region_id,region_name,exports,exports_m3,imports,imports_m3,npc_bounties,total_destroyed,total_production,trade_value,mining_value,moon_mining_value,loyalty_points,month
10000001,Derelik,103532070688294.31,10561166151.0391,97658633239996.88,9543536428.1819,90068696042.0,363952138156.05,659515397323.7003,1982162705506.6,797868100121.2222,1129301917.2834,60336014.0,202501
10000002,The Forge,456292809859663.0,36217662406.0633,494717291484212.25,45302282471.726105,507689879798.0,2312624028410.28,26286611607615.12,740334534849261.6,1243880151172.384,2054618959.2356,602243870.0,202501
10000003,Vale of the Silent,37646397796859.77,2972426210.6053,49753886823342.4,2713280170.2985,5372090572584.0,2310448991020.77,24634190946617.85,11279349627315.648,3223674159376.651,8438377463.1462,0.0,202501
10000005,Detorid,15299196254664.734,1400661748.0823,14436804071398.73,1300564261.5741,645379274784.0,533038137816.38,1409483548151.6155,586409768306.4199,734167553473.448,1205451705.046,0.0,202501
10000006,Wicked Creek,7794825792878.387,491493059.6409,7006487563876.896,463821488.6799,349485515342.0,108496486803.75,13822434474.5301,275907500.0,50319133399.19984,0.0,0.0,202501
10000007,Cache,7581354053093.646,643973948.1974,6646482953445.744,404197350.4031,1413667123126.0,415704881517.37,1153212861020.6665,318099331381.62,345913060091.89355,469938977.4336,0.0,202501
10000008,Scalding Pass,10133309376544.758,941832925.1709,7478925910377.906,551954500.9767,413824359763.0,333062070567.2,90291647209.9385,41159723915.64,214366449424.02124,37314737.2252,0.0,202501
10000009,Insmother,12688483310259.148,1098286006.3741,12365314323446.8,1597033203.124,2846014398456.0,494075088470.23,659394955740.9424,103540846857.69002,886711076192.8746,1726263322.8983,0.0,202501
10000010,Tribute,31074332805453.02,2884710111.7017,29109227184761.188,2136371017.7203,2886784994283.0,758345490048.35,5371738619425.381,15016023259.65,609128605981.6863,2229827831.7907,0.0,202501
10000011,Great Wildlands,12506057639299.443,1300056249.4751,11959573382478.674,1381300851.2676,34075914142.0,134356019271.82,308974638538.0125,20120380155.92,325858857201.7313,816055264.7428,752683.0,202501
10000012,Curse,25922965965782.23,1779998584.2609,21943611190315.715,1671459874.8514,96029393035.0,362512060429.91,224191329790.98,182377260223.27,40087367483.75386,45485939.0095,330495248.0,202501
10000013,Malpais,29925487662447.5,1934944792.826,18434080996782.742,1139504338.7729,1235877777226.0,293746157733.03,5130669792672.21,321147092863.93005,1437327184358.0112,3798883447.8661,0.0,202501
