history_date,production_isk,destruction_isk,mining_isk,trade_value,total_exports,total_imports,total_isk_destroyed,total_isk,isk_velocity,is_war_period
2019-12-01,102219586919365.28,33782554276572.09,29307065340383.01,820526800817200.8,248741319836753.06,252447225508649.6,34535604692283.855,,,0
2020-01-01,118640966106127.8,37654641324897.74,36025335070610.695,754088357967953.8,198202158741811.34,198760534497790.75,36606561070870.4,,,0
2020-02-01,104944616220339.62,38578829354386.72,31528243684323.723,708529902492163.6,294154250772096.44,295132040029360.4,36329916351529.56,,,0
2020-03-01,96166179831385.5,40524770613673.37,33196553824427.395,684491992477764.2,242990734458126.1,243987472340850.8,43226174905422.83,,,0
2020-04-01,107457954398810.8,42637400672199.57,31086682727061.203,781676173474967.0,274725068255003.7,274969156269119.97,44133798116842.875,,,0
2020-05-01,114719257482859.38,42774471959182.93,30806206717808.258,758928605764268.4,220713842493904.38,222080873350204.97,42964142568323.875,,,0
2020-06-01,101517797026852.83,45017375400061.88,26043391976027.477,667578014940975.5,227674594806001.34,228362647009148.03,43798529124550.7,,,0
2020-07-01,101906612120736.42,33731282699702.633,29692197356390.95,618826827682914.1,217516234017730.84,219606630854569.97,33739218313955.066,,,0
2020-08-01,88699787721403.34,35018212356184.44,30951146093267.78,606604936509802.8,190179383216247.78,191452898610221.03,34925454755620.92,,,0
2020-09-01,88109345848849.62,33090794192175.117,28461725989006.953,600001525819938.8,172348021403593.0,172473311855544.88,32212943212079.39,,,0
2020-10-01,91015870362722.66,41828709305632.54,28781756386066.78,657920475239920.0,218881374217033.12,220085732741018.03,41391922849450.59,,,0
2020-11-01,89290406542001.19,38379108319481.68,24914608398417.496,628493880124772.8,189136550832001.94,189909309790491.8,37374364004279.19,,,0
2020-12-01,74828375906536.7,52799471743265.57,19791364584804.082,609191568842926.2,232486327455040.12,232428705619045.3,32742247385860.46,,,0
2021-01-01,80641629389394.53,51715931140694.85,21514310150446.445,675387058863967.0,579430461356001.4,582145377043762.8,53925962604904.71,,,1
2021-02-01,77295234103685.61,34989628191558.113,19870694005555.348,582552341320672.2,504362606825938.7,505252991138183.0,35813146503560.56,,,0
2021-03-01,106316745721235.77,42010221175482.0,25870498117559.133,670576577448691.5,273634228035883.22,273971506672207.78,40949118506854.86,,,0
2021-04-01,122000671193794.2,31790866140738.11,30228993488678.79,625982625925610.9,234877231186045.75,235307583273945.5,33348521908340.082,,,0
